collector_id,hostname,display_name,group_list,description,properties
5,10.0.1.112,10.0.1.112,"",Jonathan's computer,""
1,192.168.1.100,192.168.1.100,Home Group,"",bogusmcbogus=bobo
5,127.0.0.1,MacAir_LocalHost,Mobile Group:test group,"",bogusmcbogus=bobo
1,192.168.1.1,Gateway,Home Group,"",bogusmcbogus=bobo
1,192.168.1.2,LR Switch,Home Group,"",bogusmcbogus=bobo
1,192.168.1.3,BR Switch,Home Group,"",bogusmcbogus=bobo
1,192.168.1.99,HP Printer,Home Group,"",bogusmcbogus=bobo
5,10.0.1.118,Linux VM,test group,"",bogusmcbogus=bobo
5,10.0.1.15,10.0.1.15,"","",system.categories=collector:bogusmcbogus=bobo
